region,comuna,detalle,fecha_inicio,fecha_termino
Arica y Parinacota,Arica,,2020-04-30 22:00,2020-05-07 22:00
Antofagasta,Antofagasta,,2020-05-05 22:00,2020-05-12 22:00
Antofagasta,Mejillones,,2020-05-05 22:00,2020-05-12 22:00
Metropolitana,Cerrillos,,2020-05-05 22:00,2020-05-12 22:00
Metropolitana,El Bosque,,2020-04-30 22:00,2020-05-07 22:00
Metropolitana,Estación Central,,2020-04-30 22:00,2020-05-07 22:00
Metropolitana,Independencia,,2020-04-30 22:00,2020-05-07 22:00
Metropolitana,La Pintana,desde la calle Observatorio hacia el norte,2020-04-30 22:00,2020-05-07 22:00
Metropolitana,Ñuñoa,al norte de Av. Grecia,2020-04-30 22:00,2020-05-07 22:00
Metropolitana,Pedro Aguirre Cerda,,2020-04-30 22:00,2020-05-07 22:00
Metropolitana,Puente Alto,al poniente desde Vicuña Mackenna / Av. Concha y Toro,2020-04-30 22:00,2020-05-07 22:00
Metropolitana,Quilicura,,2020-05-05 22:00,2020-05-12 22:00
Metropolitana,Quinta Normal,,2020-04-30 22:00,2020-05-07 22:00
Metropolitana,Recoleta,,2020-05-05 22:00,2020-05-12 22:00
Metropolitana,San Bernardo,desde Autopista Central al sur hasta Av. Colón; y desde Av. Colón hacia el norte,2020-04-30 22:00,2020-05-07 22:00
Metropolitana,San Ramón,desde Vespucio hacia el Sur,2020-04-30 22:00,2020-05-07 22:00
Metropolitana,Santiago,al norte de Av. Matta / Blanco Encalada,2020-04-30 22:00,2020-05-05 22:00
Metropolitana,Santiago,,2020-05-05 22:00,2020-05-12 22:00
La Araucanía,Angol,,2020-04-30 22:00,2020-05-07 22:00
La Araucanía,Victoria,,2020-04-30 22:00,2020-05-07 22:00
Magallanes,Punta Arenas,,2020-04-30 22:00,2020-05-07 22:00
